"Resource","Method","HttpMethod","UrlTemplate","InputType","ReturnType"
"ARPsAging","Describe","POST","/api/v2/ARPsAging/Describe","","String"
"ARPsAging","SettlementByAging","POST","/api/v2/ARPsAging/SettlementByAging","ARPsAging","TResult`1"
"ARPs","Describe","POST","/api/v2/ARPs/Describe","","String"
"ARPs","GetInternal","GET","/api/v2/ARPs","SelectFilter","TSelectData`1"
"ARPs","GetInternalById","GET","/api/v2/ARPs/GetInternalById","String","TResult`1"
"ARPs","PostInternal","POST","/api/v2/ARPs","ARPs","TResult`1"
"ARPs","PutInternal","PUT","/api/v2/ARPs","String, ARPs","TResult`1"
"ARPs","DeleteInternalById","DELETE","/api/v2/ARPs","String","TResult`1"
"ARPs","CustomerRisk","POST","/api/v2/ARPs/CustomerRisk","ARPsRiskParam","TResult`1"
"ARPs","CustomCustomerMainInfo","GET","/api/v2/ARPs/CustomCustomerMainInfo","SelectFilter","TSelectData`1"
"ARPTransactions","Describe","POST","/api/v2/ARPTransactions/Describe","","String"
"ARPTransactions","GetInternal","GET","/api/v2/ARPTransactions","SelectFilter","TSelectData`1"
"ARPTransactions","GetInternalById","GET","/api/v2/ARPTransactions/GetInternalById","Int32","TResult`1"
"ARPTransactions","PostInternal","POST","/api/v2/ARPTransactions","ARPTransactions","TResult`1"
"ARPTransactions","PutInternal","PUT","/api/v2/ARPTransactions","Int32, ARPTransactions","TResult`1"
"ARPTransactions","DeleteInternalById","DELETE","/api/v2/ARPTransactions","Int32","TResult`1"
"BankAccountTransaction","Describe","POST","/api/v2/BankAccountTransaction/Describe","","String"
"BankAccountTransaction","GetInternal","GET","/api/v2/BankAccountTransaction","SelectFilter","TSelectData`1"
"BankAccountTransaction","GetInternalById","GET","/api/v2/BankAccountTransaction/GetInternalById","String","TResult`1"
"BankAccountTransaction","PostInternal","POST","/api/v2/BankAccountTransaction","BankAccountTransaction","TResult`1"
"BankAccountTransaction","PutInternal","PUT","/api/v2/BankAccountTransaction","String, BankAccountTransaction","TResult`1"
"BankAccountTransaction","DeleteInternalById","DELETE","/api/v2/BankAccountTransaction","String","TResult`1"
"BankRemittanceTransfer","Describe","POST","/api/v2/BankRemittanceTransfer/Describe","","String"
"BankRemittanceTransfer","GetInternal","GET","/api/v2/BankRemittanceTransfer","SelectFilter","TSelectData`1"
"BankRemittanceTransfer","GetInternalById","GET","/api/v2/BankRemittanceTransfer/GetInternalById","String","TResult`1"
"BankRemittanceTransfer","PostInternal","POST","/api/v2/BankRemittanceTransfer","BankRemittanceTransfer","TResult`1"
"BankRemittanceTransfer","PutInternal","PUT","/api/v2/BankRemittanceTransfer","String, BankRemittanceTransfer","TResult`1"
"BankRemittanceTransfer","DeleteInternalById","DELETE","/api/v2/BankRemittanceTransfer","String","TResult`1"
"BatchInvoicing","PostInternal","POST","/api/v2/BatchInvoicing","BatchInvoicing","TResult`1"
"BOM","GetInternal","GET","/api/v2/BOM","SelectFilter","TSelectData`1"
"BOM","PostInternal","POST","/api/v2/BOM","BOM","TResult`1"
"BOM","DeleteBOMItem","DELETE","/api/v2/BOM/DeleteBOMItem","BOMItemDeleteParam","TResult`1"
"CheckAndPNotesMain","GetInternal","GET","/api/v2/CheckAndPNotesMain","JTCekSenType, SelectFilter","TSelectData`1"
"CheckAndPNotesMain","PostInternal","POST","/api/v2/CheckAndPNotesMain","CheckAndPNotesMain","TResult`1"
"CheckAndPNotesMain","GetInternalById","GET","/api/v2/CheckAndPNotesMain/GetInternalById","String","TResult`1"
"CheckAndPNotesMain","GetInternalByParam","GET","/api/v2/CheckAndPNotesMain/GetInternalByParam","CheckAndPNotesMainParam","TResult`1"
"CheckAndPNotesMain","DeleteInternalById","DELETE","/api/v2/CheckAndPNotesMain","String","TResult`1"
"CheckAndPNotesMain","DeleteInternalByParam","DELETE","/api/v2/CheckAndPNotesMain/DeleteInternalByParam","CheckAndPNotesMainParam","TResult`1"
"CheckAndPNoteStatements","Describe","POST","/api/v2/CheckAndPNoteStatements/Describe","","String"
"CheckAndPNoteStatements","CheckPNotesStatementPayment","POST","/api/v2/CheckAndPNoteStatements/CheckPNotesStatementPayment","CheckPNotesStatementPaymentParam","TResult`1"
"CheckAndPNoteStatements","DebitCheckPNotesStatementPayment","POST","/api/v2/CheckAndPNoteStatements/DebitCheckPNotesStatementPayment","DebitCheckPNotesStatementPaymentParam","TResult`1"
"Companies","Describe","POST","/api/v2/Companies/Describe","","String"
"Companies","GetInternal","GET","/api/v2/Companies","SelectFilter","TSelectData`1"
"Companies","GetInternalById","GET","/api/v2/Companies/GetInternalById","String","TResult`1"
"Company","Describe","POST","/api/v2/Company/Describe","","String"
"Company","ExecuteReport","POST","/api/v2/Company/ExecuteReport","ExecuteReportParam","TResult`1"
"Company","ExecuteOpenRecipeAnalysis","POST","/api/v2/Company/ExecuteOpenRecipeAnalysis","ExecuteOpenRecipeAnalysisParam","TResult`1"
"Company","BringBalance","POST","/api/v2/Company/BringBalance","ItemBalances","TResult`1"
"Company","ArpsMovementControl","POST","/api/v2/Company/ArpsMovementControl","ArpsMovementControlParam","TResult`1"
"Company","ChangeArpsCode","PUT","/api/v2/Company/ChangeArpsCode","ChangeArpsCodeParam","TResult`1"
"Company","SendEmail","POST","/api/v2/Company/SendEmail","SendEmailParam","TResult`1"
"Company","ChangeItemSlipNumber","PUT","/api/v2/Company/ChangeItemSlipNumber","ChangeItemSlipNumberParam","TResult`1"
"Company","ExecuteVisualReportDraft","POST","/api/v2/Company/ExecuteVisualReportDraft","ExecuteVisualReportDraftParam","TResult`1"
"Company","RecipeStockLinkCreate","POST","/api/v2/Company/RecipeStockLinkCreate","","TResult`1"
"Company","StockMotionCheck","POST","/api/v2/Company/StockMotionCheck","StockMotionCheckParam","TResult`1"
"Company","StockCodeChange","POST","/api/v2/Company/StockCodeChange","StockCodeChangeParam","TResult`1"
"Company","JournalCheck","POST","/api/v2/Company/JournalCheck","JournalCheckParam","TResult`1"
